=== MEMORY-EFFICIENT TRAINING FOR PROBLEM TRIO ===

Loading all data...
  Loading 15857 files............... done!
  Loading 2398 files.. done!
  Loading 3515 files... done!

Original training size: 15857

Applying 2x augmentation to problem trio (memory-efficient)...
Pre-allocating 23739 total samples...
  aeAegypti: 2600 -> 5200 (2x)
  anArabiensis: 2639 -> 5278 (2x)
  cuPipiens: 2643 -> 5286 (2x)

New training size: 23739
Memory usage: 14.29 GB

Loading ResNet-18...
Network ready

Training configuration:
  Epochs: 60
  Batch: 32
  Initial LR: 0.0005
  Strategy: 2x augmentation for problem trio

Starting training...

Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:01:58 |       21.88% |       19.06% |       2.4623 |       2.1164 |          0.0005 |
|       1 |          50 |       00:05:24 |       53.12% |              |       0.9963 |              |          0.0005 |
|       1 |         100 |       00:08:52 |       65.62% |              |       0.8203 |              |          0.0005 |
|       1 |         150 |       00:12:11 |       59.38% |              |       0.9539 |              |          0.0005 |
|       1 |         200 |       00:15:26 |       62.50% |              |       0.9711 |              |          0.0005 |
|       1 |         250 |       00:18:37 |       75.00% |              |       0.6102 |              |          0.0005 |
|       1 |         300 |       00:21:46 |       71.88% |              |       0.6617 |              |          0.0005 |
|       1 |         350 |       00:24:42 |       84.38% |              |       0.5696 |              |          0.0005 |
|       1 |         400 |       00:27:43 |       84.38% |              |       0.6428 |              |          0.0005 |
|       1 |         450 |       00:30:38 |       87.50% |              |       0.2201 |              |          0.0005 |
|       1 |         500 |       00:33:39 |       56.25% |              |       0.7267 |              |          0.0005 |
|       1 |         550 |       00:36:35 |       87.50% |              |       0.3875 |              |          0.0005 |
|       1 |         600 |       00:39:35 |       81.25% |              |       0.5657 |              |          0.0005 |
|       1 |         650 |       00:42:36 |       75.00% |              |       0.6628 |              |          0.0005 |
|       1 |         700 |       00:45:45 |       78.12% |              |       0.5604 |              |          0.0005 |
|       1 |         741 |       00:50:23 |       90.62% |       78.73% |       0.2671 |       0.6361 |          0.0005 |
|       2 |         750 |       00:51:00 |       84.38% |              |       0.3443 |              |          0.0005 |
