No.,Layer Name,Type,Parameters,Output Size
1,input,ImageInputLayer,"InputSize=[128 122 1], Normalization=none",-
2,conv_init,Convolution2DLayer,"Filters=32, Size=[3 3], Stride=[1 1], Padding=same",-
3,bn_init,BatchNormalizationLayer,"Batch Normalization",-
4,relu_init,ReLULayer,"Activation: ReLU",-
5,conv1_1,Convolution2DLayer,"Filters=32, Size=[3 3], Stride=[1 1], Padding=same",-
6,bn1_1,BatchNormalizationLayer,"Batch Normalization",-
7,relu1_1,ReLULayer,"Activation: ReLU",-
8,conv1_2,Convolution2DLayer,"Filters=32, Size=[3 3], Stride=[1 1], Padding=same",-
9,bn1_2,BatchNormalizationLayer,"Batch Normalization",-
10,relu1_2,ReLULayer,"Activation: ReLU",-
11,pool1,MaxPooling2DLayer,"PoolSize=[2 2], Stride=[2 2]",-
12,drop1,DropoutLayer,"Probability=0.15",-
13,conv2_1,Convolution2DLayer,"Filters=64, Size=[3 3], Stride=[1 1], Padding=same",-
14,bn2_1,BatchNormalizationLayer,"Batch Normalization",-
15,relu2_1,ReLULayer,"Activation: ReLU",-
16,conv2_2,Convolution2DLayer,"Filters=64, Size=[3 3], Stride=[1 1], Padding=same",-
17,bn2_2,BatchNormalizationLayer,"Batch Normalization",-
18,relu2_2,ReLULayer,"Activation: ReLU",-
19,pool2,MaxPooling2DLayer,"PoolSize=[2 2], Stride=[2 2]",-
20,drop2,DropoutLayer,"Probability=0.20",-
21,conv3_1,Convolution2DLayer,"Filters=128, Size=[3 3], Stride=[1 1], Padding=same",-
22,bn3_1,BatchNormalizationLayer,"Batch Normalization",-
23,relu3_1,ReLULayer,"Activation: ReLU",-
24,conv3_2,Convolution2DLayer,"Filters=128, Size=[3 3], Stride=[1 1], Padding=same",-
25,bn3_2,BatchNormalizationLayer,"Batch Normalization",-
26,relu3_2,ReLULayer,"Activation: ReLU",-
27,conv3_3,Convolution2DLayer,"Filters=128, Size=[3 3], Stride=[1 1], Padding=same",-
28,bn3_3,BatchNormalizationLayer,"Batch Normalization",-
29,relu3_3,ReLULayer,"Activation: ReLU",-
30,pool3,MaxPooling2DLayer,"PoolSize=[2 2], Stride=[2 2]",-
31,drop3,DropoutLayer,"Probability=0.25",-
32,conv4_1,Convolution2DLayer,"Filters=256, Size=[3 3], Stride=[1 1], Padding=same",-
33,bn4_1,BatchNormalizationLayer,"Batch Normalization",-
34,relu4_1,ReLULayer,"Activation: ReLU",-
35,conv4_2,Convolution2DLayer,"Filters=256, Size=[3 3], Stride=[1 1], Padding=same",-
36,bn4_2,BatchNormalizationLayer,"Batch Normalization",-
37,relu4_2,ReLULayer,"Activation: ReLU",-
38,gap,GlobalAveragePooling2DLayer,"Global Average Pooling",-
39,dropout_final,DropoutLayer,"Probability=0.40",-
40,fc_output,FullyConnectedLayer,"OutputSize=6",6
41,softmax,SoftmaxLayer,"Softmax Activation",-
42,classification,ClassificationOutputLayer,"Cross-Entropy Loss",6

Total Learnable Parameters,1332294
Test Accuracy,80.40%
Training Time,54.66 hours
